Auction Title ,Auction ID,Department ,Close Date ,Winning Bid ,CC Fee,Fee Percent,Auction Fee Subtotal,Auction Fee Total,Pay Status ,Paid Date ,ASSET #,Inventory ID,Decal /Vehicle ID,VTR Number,Receipt Number ,Cap,Expenses,Net Sales,Fund,Business Unit
Dell Laptop w/Bag,91935,ITS,12/22/2015,$63.00,$1.45,0.23,$14.49,$14.49,Successful,12/22/2015,,"99213A, 101228",,,3659937007,$3000,$0.00,$48.51,General Fund,0
Dell Laptop w/Bag,91934,ITS,12/22/2015,$58.25,$1.34,0.23,$13.39,$13.39,Successful,12/22/2015,,101231,,,3659936719,$3000,$0.00,$44.85,General Fund,0
Xtreme PY50 Kids Dirt Bike,92038,POLICE VEHICLE IMPOUND,12/22/2015,$109.00,$2.50,0.23,$25.07,$25.07,Successful,12/29/2015,,IM-169604,,,3660200894,$3000,$0.00,$83.93,General Fund,0
Dell Computer,91940,ITS,12/22/2015,$39.00,$0.90,0.23,$8.97,$8.97,Successful,12/22/2015,,98909,,,3659955206,$3000,$0.00,$30.03,General Fund,0
Cabinet,91859,ECD COMMUNICATIONS,12/22/2015,$11.99,$0.28,0.23,$2.75,$2.75,Successful,12/29/2015,2668,ECD-101390,,,3660215451,$3000,$0.00,$9.23,Enterprise,0
Dell Laptop w/Bag,91938,ITS,12/22/2015,$62.00,$1.43,0.23,$14.26,$14.26,Successful,12/22/2015,,101236,,,3659937462,$3000,$0.00,$47.74,General Fund,0
Dell Laptop w/Bag,91937,ITS,12/22/2015,$78.00,$1.79,0.23,$17.94,$17.94,Successful,12/22/2015,,"99213C, 101223",,,3659937012,$3000,$0.00,$60.06,General Fund,0
Dell Laptop w/Bag,91936,ITS,12/22/2015,$44.99,$1.03,0.23,$10.34,$10.34,Successful,12/22/2015,,"99213B, 101227",,,3659936571,$3000,$0.00,$34.64,General Fund,0
Dell Laptop w/Bag,91931,ITS,12/22/2015,$44.01,$1.01,0.23,$10.12,$10.12,Successful,12/22/2015,,101229,,,3659955203,$3000,$0.00,$33.88,General Fund,0
Dell Laptop w/Bag,91932,ITS,12/22/2015,$55.01,$1.27,0.23,$12.65,$12.65,Successful,12/22/2015,,101233,,,3659936712,$3000,$0.00,$42.35,General Fund,0
Dell Laptop w/Bag,91933,ITS,12/22/2015,$52.00,$1.20,0.23,$11.96,$11.96,Successful,12/22/2015,,101230,,,3659936715,$3000,$0.00,$40.04,General Fund,0
Coffee Machine,91926,BRIDGESTONE ARENA,12/21/2015,$283.00,$6.51,0.23,$65.09,$65.09,Successful,12/30/2015,,BA-101366,,,3660308200,$3000,$0.00,$217.91,Enterprise,0
Sink,91927,BRIDGESTONE ARENA,12/21/2015,$330.00,$7.59,0.23,$75.90,$75.90,Successful,12/22/2015,,BA-101356,,,3659933813,$3000,$0.00,$254.10,Enterprise,0
Keg Cooler,91917,BRIDGESTONE ARENA,12/21/2015,$209.00,$0.00,0.23,$48.07,$48.07,Successful,12/22/2015,,BA-101412,,,Money Order,$3000,$0.00,$160.93,Enterprise,0
6 Hot Boxes,91911,BRIDGESTONE ARENA,12/21/2015,$130.00,$2.99,0.23,$29.90,$29.90,Successful,12/31/2015,,"BA-101346, BA-10147, BA-10148, BA-10149, BA-10150, BA-10151",,,3660352526,$3000,$0.00,$100.10,Enterprise,0
Hot Box,91912,BRIDGESTONE ARENA,12/21/2015,$205.00,$4.72,0.23,$47.15,$47.15,Successful,12/31/2015,,BA-101359,,,3660352532,$3000,$0.00,$157.85,Enterprise,0
Hot Box,91913,BRIDGESTONE ARENA,12/21/2015,$250.01,$0.00,0.23,$57.50,$57.50,Successful,12/21/2015,,BA-101343,,,Cashiers Check,$3000,$0.00,$192.50,Enterprise,0
