Month,Year,Zip Code,Customer Type,Monthly KWH Used
1,2016,"37219
(36.167467, -86.783669)",COMMERCIAL,7105235
1,2016,"37243
(36.166899, -86.77672)",COMMERCIAL,2276240
1,2016,"37214
(36.168995, -86.667231)",RESIDENTIAL,6709175
1,2016,"37080
(36.331509, -86.915843)",OUTDOOR LIGHTING,0
1,2016,"37015
(36.29003, -87.070106)",COMMERCIAL,5035
1,2016,"37066
(36.387698, -86.459057)",COMMERCIAL,302616
1,2016,"37211
(36.069132, -86.724578)",COMMERCIAL,16076239
1,2016,"37115
(36.262567, -86.704171)",COMMERCIAL,1685462
1,2016,"37243
(36.166899, -86.77672)",COMMERCIAL,79410
1,2016,"37013
(36.049335, -86.641832)",COMMERCIAL,1444978
1,2016,"37215
(36.091316, -86.827959)",COMMERCIAL,4854011
1,2016,"37221
(36.064367, -86.96029)",OUTDOOR LIGHTING,6302
1,2016,"37207
(36.224945, -86.775061)",COMMERCIAL,13206729
1,2016,"37229
(36.166687, -86.779932)",COMMERCIAL,868600
1,2016,"37027
(36.00245, -86.778709)",COMMERCIAL,1017274
1,2016,"37208
(36.176427, -86.805176)",COMMERCIAL,939818
1,2016,"37069
(35.985493, -86.899213)",COMMERCIAL,66040
1,2016,"37210
(36.140869, -86.738847)",SEASONAL CUSTOMER,8200
1,2016,"37208
(36.176427, -86.805176)",COMMERCIAL,15076687
1,2016,"37135
(35.946013, -86.661944)",COMMERCIAL,6754
1,2016,"37086
(36.014912, -86.5643)",RESIDENTIAL,4501305
1,2016,"37218
(36.210699, -86.866798)",COMMERCIAL,502996
1,2016,"37204
(36.109305, -86.776748)",OUTDOOR LIGHTING,8669
1,2016,"37152
(36.396526, -86.765833)",COMMERCIAL,13026
1,2016,"37210
(36.140869, -86.738847)",COMMERCIAL,22081204
1,2016,"37086
(36.014912, -86.5643)",COMMERCIAL,17271503
1,2016,"37066
(36.387698, -86.459057)",COMMERCIAL,28179
1,2016,"37115
(36.262567, -86.704171)",COMMERCIAL,9216844
1,2016,"37201
(36.164553, -86.776977)",RESIDENTIAL,62057
1,2016,"37204
(36.109305, -86.776748)",COMMERCIAL,13104069
1,2016,"37072
(36.350389, -86.731255)",OUTDOOR LIGHTING,966
1,2016,"37217
(36.106646, -86.667608)",OUTDOOR LIGHTING,466
1,2016,"37205
(36.112469, -86.867263)",COMMERCIAL,849412
1,2016,"37210
(36.140869, -86.738847)",RESIDENTIAL,2489765
1,2016,"37201
(36.164553, -86.776977)",COMMERCIAL,8019309
1,2016,"37013
(36.049335, -86.641832)",OUTDOOR LIGHTING,3895
1,2016,"37216
(36.216134, -86.726204)",COMMERCIAL,637662
1,2016,"37216
(36.216134, -86.726204)",COMMERCIAL,2888524
1,2016,"37080
(36.331509, -86.915843)",COMMERCIAL,511764
1,2016,"37189
(36.279393, -86.826731)",COMMERCIAL,1069447
1,2016,"37217
(36.106646, -86.667608)",COMMERCIAL,1412630
1,2016,"37122
(36.187906, -86.500085)",RESIDENTIAL,656651
1,2016,"37069
(35.985493, -86.899213)",RESIDENTIAL,511155
1,2016,"37212
(36.133256, -86.801456)",RESIDENTIAL,1625581
1,2016,"37143
(36.12259, -87.03587)",RESIDENTIAL,669125
1,2016,"37066
(36.387698, -86.459057)",RESIDENTIAL,448305
1,2016,"37138
(36.239455, -86.611783)",COMMERCIAL,21379001
1,2016,"37228
(36.193837, -86.803025)",COMMERCIAL,230295
1,2016,"37211
(36.069132, -86.724578)",OUTDOOR LIGHTING,1660
1,2016,"37069
(35.985493, -86.899213)",COMMERCIAL,5624
1,2016,"37213
(36.167552, -86.767564)",RESIDENTIAL,461
1,2016,"37027
(36.00245, -86.778709)",OUTDOOR LIGHTING,10125
1,2016,"37227
(36.129798, -86.666977)",COMMERCIAL,865
1,2016,"37189
(36.279393, -86.826731)",COMMERCIAL,1599527
1,2016,"37189
(36.279393, -86.826731)",OUTDOOR LIGHTING,0
1,2016,"37076
(36.175185, -86.5933)",RESIDENTIAL,6307370
1,2016,"37208
(36.176427, -86.805176)",OUTDOOR LIGHTING,83404
1,2016,"37082
(36.08832, -87.117051)",RESIDENTIAL,37338
1,2016,"37138
(36.239455, -86.611783)",COMMERCIAL,504044
1,2016,"37205
(36.112469, -86.867263)",COMMERCIAL,8924418
1,2016,"37219
(36.167467, -86.783669)",RESIDENTIAL,31709
1,2016,"37189
(36.279393, -86.826731)",RESIDENTIAL,1186010
1,2016,"37076
(36.175185, -86.5933)",OUTDOOR LIGHTING,0
1,2016,"37064
(35.889628, -86.926986)",RESIDENTIAL,8291
1,2016,"37202
(36.158527, -86.782923)",COMMERCIAL,16600
1,2016,"37075
(36.323052, -86.60557)",COMMERCIAL,8221125
1,2016,"37205
(36.112469, -86.867263)",OUTDOOR LIGHTING,4319
1,2016,"37203
(36.150195, -86.790206)",COMMERCIAL,2040109
1,2016,"37201
(36.164553, -86.776977)",COMMERCIAL,184315
1,2016,"37073
(36.42764, -86.812249)",COMMERCIAL,44160
1,2016,"37212
(36.133256, -86.801456)",COMMERCIAL,8600118
1,2016,"37242
(36.165017, -86.782171)",COMMERCIAL,336000
1,2016,"37204
(36.109305, -86.776748)",COMMERCIAL,1506851
1,2016,"37220
(36.06788, -86.776955)",COMMERCIAL,259361
1,2016,"37213
(36.167552, -86.767564)",COMMERCIAL,3862540
1,2016,"37215
(36.091316, -86.827959)",RESIDENTIAL,6650559
1,2016,"37219
(36.167467, -86.783669)",COMMERCIAL,263592
1,2016,"37027
(36.00245, -86.778709)",COMMERCIAL,10371052
1,2016,"37214
(36.168995, -86.667231)",OUTDOOR LIGHTING,3727
1,2016,"37214
(36.168995, -86.667231)",COMMERCIAL,1379797
1,2016,"37015
(36.29003, -87.070106)",COMMERCIAL,66277
1,2016,"37080
(36.331509, -86.915843)",COMMERCIAL,261735
1,2016,"37072
(36.350389, -86.731255)",COMMERCIAL,1388802
1,2016,"37218
(36.210699, -86.866798)",RESIDENTIAL,5304096
1,2016,"37086
(36.014912, -86.5643)",OUTDOOR LIGHTING,6371
1,2016,"37206
(36.18095, -86.739624)",OUTDOOR LIGHTING,1347
1,2016,"37072
(36.350389, -86.731255)",SEASONAL CUSTOMER,0
1,2016,"37216
(36.216134, -86.726204)",RESIDENTIAL,4295456
1,2016,"37209
(36.149599, -86.874487)",COMMERCIAL,2140612
1,2016,"37218
(36.210699, -86.866798)",COMMERCIAL,4981004
1,2016,"37082
(36.08832, -87.117051)",COMMERCIAL,464
1,2016,"37234
(36.159965, -86.783617)",COMMERCIAL,40
1,2016,"37214
(36.168995, -86.667231)",COMMERCIAL,24607165
1,2016,"37072
(36.350389, -86.731255)",COMMERCIAL,8762927
1,2016,"37210
(36.140869, -86.738847)",COMMERCIAL,2396213
1,2016,"37212
(36.133256, -86.801456)",OUTDOOR LIGHTING,26295
1,2016,"37207
(36.224945, -86.775061)",RESIDENTIAL,9398417
1,2016,"37209
(36.149599, -86.874487)",RESIDENTIAL,4825946
1,2016,"37086
(36.014912, -86.5643)",COMMERCIAL,655683
1,2016,"37221
(36.064367, -86.96029)",RESIDENTIAL,6205021
1,2016,"37238
(36.166067, -86.779698)",COMMERCIAL,249000
1,2016,"37209
(36.149599, -86.874487)",COMMERCIAL,25251510
1,2016,"37211
(36.069132, -86.724578)",RESIDENTIAL,8287184
1,2016,"37217
(36.106646, -86.667608)",COMMERCIAL,10306428
1,2016,"37013
(36.049335, -86.641832)",COMMERCIAL,12725654
1,2016,"37212
(36.133256, -86.801456)",SEASONAL CUSTOMER,0
1,2016,"37075
(36.323052, -86.60557)",OUTDOOR LIGHTING,37251
1,2016,"37237
",COMMERCIAL,504000
1,2016,"37207
(36.224945, -86.775061)",COMMERCIAL,1540869
1,2016,"37218
(36.210699, -86.866798)",OUTDOOR LIGHTING,0
1,2016,"37115
(36.262567, -86.704171)",RESIDENTIAL,8214641
1,2016,"37203
(36.150195, -86.790206)",RESIDENTIAL,965556
1,2016,"37115
(36.262567, -86.704171)",OUTDOOR LIGHTING,256
1,2016,"37228
(36.193837, -86.803025)",COMMERCIAL,4938048
1,2016,"37013
(36.049335, -86.641832)",RESIDENTIAL,10101618
1,2016,"37211
(36.069132, -86.724578)",COMMERCIAL,2863788
1,2016,"37220
(36.06788, -86.776955)",RESIDENTIAL,2271351
1,2016,"37203
(36.150195, -86.790206)",OUTDOOR LIGHTING,586
1,2016,"37080
(36.331509, -86.915843)",RESIDENTIAL,1883052
1,2016,"37220
(36.06788, -86.776955)",OUTDOOR LIGHTING,700
1,2016,"37138
(36.239455, -86.611783)",RESIDENTIAL,4682562
1,2016,"37122
(36.187906, -86.500085)",COMMERCIAL,5487
1,2016,"37027
(36.00245, -86.778709)",RESIDENTIAL,6808721
1,2016,"37216
(36.216134, -86.726204)",OUTDOOR LIGHTING,1640
1,2016,"37209
(36.149599, -86.874487)",OUTDOOR LIGHTING,9741
